DateKey,FullDate,Year,Month,MonthNum,Quarter,DayOfWeek
20230101,2023-01-01,2023,January,1,Q1,Sunday
20230102,2023-01-02,2023,January,1,Q1,Monday
20230103,2023-01-03,2023,January,1,Q1,Tuesday
20230104,2023-01-04,2023,January,1,Q1,Wednesday
20230105,2023-01-05,2023,January,1,Q1,Thursday
20230106,2023-01-06,2023,January,1,Q1,Friday
20230107,2023-01-07,2023,January,1,Q1,Saturday
20230108,2023-01-08,2023,January,1,Q1,Sunday
20230109,2023-01-09,2023,January,1,Q1,Monday
20230110,2023-01-10,2023,January,1,Q1,Tuesday
20230111,2023-01-11,2023,January,1,Q1,Wednesday
20230112,2023-01-12,2023,January,1,Q1,Thursday
20230113,2023-01-13,2023,January,1,Q1,Friday
20230114,2023-01-14,2023,January,1,Q1,Saturday
20230115,2023-01-15,2023,January,1,Q1,Sunday
20230116,2023-01-16,2023,January,1,Q1,Monday
20230117,2023-01-17,2023,January,1,Q1,Tuesday
20230118,2023-01-18,2023,January,1,Q1,Wednesday
20230119,2023-01-19,2023,January,1,Q1,Thursday
20230120,2023-01-20,2023,January,1,Q1,Friday
20230121,2023-01-21,2023,January,1,Q1,Saturday
20230122,2023-01-22,2023,January,1,Q1,Sunday
20230123,2023-01-23,2023,January,1,Q1,Monday
20230124,2023-01-24,2023,January,1,Q1,Tuesday
20230125,2023-01-25,2023,January,1,Q1,Wednesday
20230126,2023-01-26,2023,January,1,Q1,Thursday
20230127,2023-01-27,2023,January,1,Q1,Friday
20230128,2023-01-28,2023,January,1,Q1,Saturday
20230129,2023-01-29,2023,January,1,Q1,Sunday
20230130,2023-01-30,2023,January,1,Q1,Monday
20230131,2023-01-31,2023,January,1,Q1,Tuesday
20230201,2023-02-01,2023,February,2,Q1,Wednesday
20230202,2023-02-02,2023,February,2,Q1,Thursday
20230203,2023-02-03,2023,February,2,Q1,Friday
20230204,2023-02-04,2023,February,2,Q1,Saturday
20230205,2023-02-05,2023,February,2,Q1,Sunday
20230206,2023-02-06,2023,February,2,Q1,Monday
20230207,2023-02-07,2023,February,2,Q1,Tuesday
20230208,2023-02-08,2023,February,2,Q1,Wednesday
20230209,2023-02-09,2023,February,2,Q1,Thursday
20230210,2023-02-10,2023,February,2,Q1,Friday
20230211,2023-02-11,2023,February,2,Q1,Saturday
20230212,2023-02-12,2023,February,2,Q1,Sunday
20230213,2023-02-13,2023,February,2,Q1,Monday
20230214,2023-02-14,2023,February,2,Q1,Tuesday
20230215,2023-02-15,2023,February,2,Q1,Wednesday
20230216,2023-02-16,2023,February,2,Q1,Thursday
20230217,2023-02-17,2023,February,2,Q1,Friday
20230218,2023-02-18,2023,February,2,Q1,Saturday
